kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
15.00-15.59,2,2,0,0,0,0,0,0,385275.65,2020,8,2,6674644.92
09.00-09.59,0,0,0,0,1,0,0,1,385301.33,2020,4,3,6674717.44
14.00-14.59,8,0,0,0,1,0,0,0,384992.5,2020,4,2,6675802.79
07.00-07.59,8,0,0,0,1,0,0,0,385082.4,2020,9,2,6675823.05
15.00-15.59,0,0,0,0,2,0,0,0,385212.13,2020,3,2,6676236.73
00.00-00.59,8,0,0,0,3,0,0,0,385085.82,2020,3,3,6670699.63
16.00-16.59,6,0,1,0,0,1,0,0,384981.57,2020,1,2,6671810.22
23.00-23.59,6,0,1,0,1,0,0,0,385310.01,2020,11,2,6671814.8
13.00-13.59,0,0,0,0,2,0,0,0,385035.61,2020,2,2,6672038.45
15.00-15.59,0,0,0,0,2,0,0,0,385071.83,2020,2,2,6673301.73
11.00-11.59,0,0,0,0,1,0,1,0,385284.63,2020,8,2,6673701.86
20.00-20.59,4,0,0,0,1,1,0,0,385084.57,2020,11,2,6672167.04
11.00-11.59,6,0,1,0,1,0,0,0,385301.9,2020,3,2,6671516.28
09.00-09.59,5,1,0,0,1,0,0,0,384932.39,2020,12,2,6674546.42
12.00-12.59,0,1,0,0,0,1,0,0,384434.73,2020,8,2,6673893.39
17.00-17.59,6,0,1,0,1,0,0,0,384513.09,2020,6,2,6674029.3
15.00-15.59,1,1,0,0,1,0,0,0,384629.72,2020,9,2,6674266.05
20.00-20.59,0,0,0,0,2,0,0,0,384597.49,2020,1,2,6674135.27
16.00-16.59,0,0,0,0,5,0,0,0,384399.13,2020,7,2,6673960.02
13.00-13.59,6,0,1,0,0,1,0,0,384931.18,2020,8,2,6674527.3
12.00-12.59,8,0,0,0,1,0,0,0,383958,2020,9,2,6676423.01
17.00-17.59,6,0,1,0,0,1,0,0,384117.57,2020,6,2,6674638.79
19.00-19.59,6,0,1,0,1,0,0,0,383875.26,2020,12,2,6674562.35
20.00-20.59,1,1,0,0,1,0,0,0,384638.75,2020,5,2,6672200.84
22.00-22.59,8,0,0,0,1,0,0,0,384532.04,2020,4,2,6672731.61
12.00-12.59,9,0,0,0,5,0,0,0,384786.99,2020,12,2,6673557.73
17.00-17.59,3,1,0,0,1,0,0,0,384397.95,2020,11,2,6673660.78
02.00-02.59,5,1,0,0,1,0,0,0,384724.71,2020,1,2,6672826.26
00.00-00.59,4,0,0,0,2,0,0,0,384412.91,2020,3,2,6673769.68
18.00-18.59,4,2,0,0,0,0,0,0,384747.58,2020,9,2,6672892.06
12.00-12.59,0,3,0,0,0,0,0,0,384229.01,2020,3,2,6673205.97
14.00-14.59,1,1,0,0,1,0,0,0,384447.46,2020,8,2,6673888.97
08.00-08.59,1,2,0,0,0,0,0,0,384628.47,2020,6,2,6671807.43
17.00-17.59,5,0,0,1,1,0,0,0,384654.79,2020,12,2,6670775.96
15.00-15.59,5,1,0,0,1,0,0,0,384626.78,2020,11,2,6670955.21
17.00-17.59,0,0,0,0,1,1,0,0,384627.12,2020,2,2,6671438.17
14.00-14.59,5,0,0,0,1,0,0,1,384639.52,2020,6,2,6671059.16
14.00-14.59,9,0,1,0,1,0,0,0,383863.8,2020,6,1,6670978.67
19.00-19.59,4,1,0,0,1,0,0,0,384319.58,2020,6,2,6671306.16
18.00-18.59,9,1,0,0,1,0,0,0,384924.39,2020,12,2,6671825.57
19.00-19.59,0,0,0,0,2,0,0,0,384657.88,2020,7,2,6671912.04
16.00-16.59,6,0,1,0,1,0,0,0,382311.89,2020,11,2,6675370.76
16.00-16.59,0,0,0,0,2,0,0,0,383659.39,2020,8,2,6675387.69
17.00-17.59,7,0,1,0,1,0,0,0,382711.07,2020,10,2,6675393.8
14.00-14.59,0,0,0,0,4,0,0,0,383604.05,2020,9,2,6675536.02
23.00-23.59,9,0,0,0,3,0,0,0,383365.11,2020,8,2,6676036.16
13.00-13.59,5,1,0,0,1,0,0,0,377351.81,2020,5,2,6675729.68
11.00-11.59,4,1,0,0,1,0,0,0,383361.51,2020,11,2,6675681.43
12.00-12.59,1,1,0,0,1,0,0,0,382491.45,2020,5,2,6676302.68
07.00-07.59,4,1,0,0,1,0,0,0,383797.29,2020,4,2,6676423.58
20.00-20.59,6,0,1,0,1,0,0,0,377707.76,2020,11,3,6673806.17
08.00-08.59,2,2,0,0,0,0,0,0,379098.06,2020,9,2,6674174.9
06.00-06.59,3,1,0,0,1,0,0,0,383289.06,2020,6,2,6674767.89
18.00-18.59,9,0,0,0,1,0,0,0,378487.8,2020,6,2,6674232.19
14.00-14.59,1,1,0,0,1,0,0,0,383278.2,2020,9,1,6674766.65
12.00-12.59,0,0,0,0,2,0,0,0,383525.64,2020,9,2,6674588.32
04.00-04.59,8,0,0,0,1,0,0,0,383040.09,2020,3,2,6675022.78
14.00-14.59,8,0,0,0,1,0,0,0,382375,2020,10,2,6675215
13.00-13.59,7,1,1,0,0,0,0,0,382421.66,2020,7,2,6675320.29
07.00-07.59,0,1,0,0,0,1,0,0,379348.48,2020,9,2,6673417.88
09.00-09.59,8,0,0,0,0,0,0,1,379324.35,2020,5,2,6672133.43
09.00-09.59,3,0,0,0,2,0,0,0,378074.85,2020,2,2,6672265.79
09.00-09.59,6,0,1,0,1,0,0,0,382142.81,2020,1,2,6670903.07
07.00-07.59,1,1,0,0,1,0,0,0,379597.89,2020,2,2,6673338.08
16.00-16.59,5,0,0,0,2,0,0,0,379403.32,2020,10,2,6672556.67
21.00-21.59,0,0,0,0,1,0,0,1,381221.89,2020,9,2,6671443.07
08.00-08.59,0,0,0,0,1,1,0,0,381729.03,2020,2,2,6671431.17
11.00-11.59,9,0,0,0,2,0,0,0,381256.71,2020,6,2,6671138.42
14.00-14.59,0,0,0,0,2,0,0,0,383705.83,2020,2,2,6679460.92
22.00-22.59,0,0,0,0,2,0,0,0,383606.06,2020,12,2,6679678.83
19.00-19.59,3,0,0,0,2,0,0,0,384236.15,2020,4,2,6679689.51
17.00-17.59,1,0,0,0,2,0,0,0,383163.75,2020,8,2,6679723.15
