kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
20.00-20.59,7,0,1,0,1,0,0,0,397094.07,2019,4,3,6675514.35
02.00-02.59,8,0,0,0,1,0,0,0,395948.88,2019,5,2,6675707.65
22.00-22.59,8,0,0,0,1,0,0,0,395893.93,2019,12,2,6675810.67
09.00-09.59,5,0,0,0,2,0,0,0,397050.9,2019,1,2,6675901.96
20.00-20.59,8,0,0,0,0,0,1,0,398511.68,2019,10,3,6676003.59
06.00-06.59,1,1,0,0,1,0,0,0,393555.74,2019,7,2,6677657.98
15.00-15.59,0,0,0,0,3,0,0,0,393535.53,2019,8,2,6678085.91
13.00-13.59,6,0,1,0,1,0,0,0,393414.27,2019,5,2,6677914.73
14.00-14.59,0,0,0,0,2,0,0,0,393449.22,2019,11,2,6678397.54
12.00-12.59,4,1,0,0,1,0,0,0,393305.84,2019,12,2,6678405.3
21.00-21.59,8,0,0,0,1,0,0,0,393551.68,2019,1,2,6678631.01
14.00-14.59,0,0,0,0,2,0,0,0,392309.89,2019,1,2,6678670.45
06.00-06.59,4,1,0,0,1,0,0,0,392327.93,2019,7,2,6678814.38
11.00-11.59,8,0,0,0,1,0,0,0,394014.71,2019,7,2,6676587.2
21.00-21.59,3,0,0,1,1,0,0,0,394026.85,2019,9,2,6676594.87
23.00-23.59,1,0,0,0,2,0,0,0,394038.93,2019,3,2,6676620.75
16.00-16.59,4,0,0,0,2,0,0,0,393947.66,2019,12,2,6676672.37
20.00-20.59,0,0,0,0,2,0,0,0,393943.58,2019,3,2,6676807.12
16.00-16.59,1,0,0,0,2,0,0,0,393948.86,2019,6,2,6676670.14
11.00-11.59,0,0,0,0,2,0,0,0,393886.02,2019,10,2,6676991.99
09.00-09.59,0,0,0,0,5,0,0,0,393857.03,2019,9,2,6677041.38
16.00-16.59,0,0,0,0,3,0,0,0,393400.77,2019,4,2,6676378.13
20.00-20.59,1,1,0,0,1,0,0,0,392263.47,2019,4,2,6676084.93
11.00-11.59,1,1,0,0,1,0,0,0,392269.59,2019,8,2,6676211.42
19.00-19.59,1,1,0,0,1,0,0,0,392261.47,2019,8,2,6676214.77
11.00-11.59,6,0,1,0,0,1,0,0,393495.66,2019,11,2,6676389.83
20.00-20.59,9,0,0,0,2,0,0,0,393962.83,2019,1,2,6676437.38
12.00-12.59,3,0,0,0,2,0,0,0,392327.22,2019,1,2,6676475.6
14.00-14.59,0,0,0,0,2,0,0,0,394023.45,2019,1,2,6676584.79
15.00-15.59,1,1,0,0,1,0,0,0,390852.52,2019,4,2,6675420.44
18.00-18.59,6,0,1,0,1,0,0,0,391738.25,2019,11,2,6679097.89
