kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
20.00-20.59,8,0,0,0,1,0,0,0,403470.91,2018,3,2,6681814.77
12.00-12.59,0,0,0,0,1,1,0,0,405383.23,2018,4,2,6683446.24
17.00-17.59,4,1,0,0,1,0,0,0,405470.38,2018,8,2,6683658.7
12.00-12.59,0,0,0,0,1,1,0,0,408134.33,2018,9,2,6683998.03
16.00-16.59,1,0,0,0,2,0,0,0,405299.09,2018,9,2,6683345.82
15.00-15.59,3,0,0,0,1,0,0,1,395171.49,2018,9,2,6679550.03
16.00-16.59,6,0,1,0,1,0,0,0,395342.41,2018,12,2,6679941.41
06.00-06.59,8,0,0,0,1,0,0,0,395266.21,2018,12,2,6679816.05
15.00-15.59,0,0,0,0,2,0,0,0,397433.24,2018,12,2,6680088.86
17.00-17.59,7,0,1,0,0,1,0,0,394163.53,2018,11,2,6680076.54
05.00-05.59,8,0,0,0,1,0,0,0,398019.59,2018,5,2,6680459.98
16.00-16.59,0,0,0,0,3,1,0,0,397372.61,2018,12,2,6680188.76
20.00-20.59,0,0,0,0,2,0,0,0,394449.65,2018,6,2,6683408.64
01.00-01.59,8,0,0,0,0,0,0,1,394134.51,2018,9,2,6683573.09
11.00-11.59,3,0,0,0,1,1,0,0,393920.38,2018,10,2,6683656.92
17.00-17.59,0,0,0,1,1,0,0,0,395289.56,2018,12,2,6683911.28
15.00-15.59,1,1,0,0,1,0,0,0,393939,2018,8,2,6683935.53
17.00-17.59,4,1,0,0,1,0,0,0,395429.63,2018,6,2,6684084.73
01.00-01.59,8,0,0,0,1,0,0,0,394574.22,2018,6,2,6684577.58
17.00-17.59,8,0,0,0,1,0,0,0,398360.9,2018,1,2,6680606.3
18.00-18.59,6,0,1,0,1,0,0,0,393863.27,2018,3,3,6681521.58
13.00-13.59,1,0,0,0,1,0,0,1,394957.7,2018,5,1,6681745.03
17.00-17.59,0,0,0,0,3,0,0,0,394548.84,2018,3,3,6683334.7
15.00-15.59,8,0,0,0,1,0,0,0,400032.85,2018,3,3,6682293.78
16.00-16.59,2,0,0,0,3,0,0,0,395609.51,2018,12,2,6682071.06
16.00-16.59,5,0,0,0,2,0,0,0,395141.1,2018,8,2,6683378.98
17.00-17.59,8,0,0,0,3,0,0,0,393322.79,2018,12,2,6681081.28
01.00-01.59,8,0,0,0,1,0,0,0,393676.66,2018,5,2,6681127.59
14.00-14.59,4,1,0,0,1,0,0,0,392676.16,2018,5,2,6681148.42
08.00-08.59,0,0,0,0,2,0,0,0,393810.92,2018,10,2,6681185.33
18.00-18.59,5,0,0,0,1,0,1,0,393583.71,2018,5,2,6682178.01
14.00-14.59,0,0,0,0,3,1,0,0,393193.74,2018,1,2,6681680.96
16.00-16.59,0,0,0,0,3,0,0,0,393073,2018,9,2,6681386.29
16.00-16.59,5,0,0,0,1,0,1,0,393556.24,2018,11,2,6682186.6
15.00-15.59,0,0,0,0,2,1,0,0,393572.4,2018,8,2,6683877.24
07.00-07.59,0,0,0,0,1,1,0,0,392333.26,2018,7,2,6684156.45
15.00-15.59,4,1,0,0,1,0,0,0,392298.87,2018,5,2,6682381.78
