kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
14.00-14.59,8,0,0,0,1,0,0,0,393718.68,2018,7,2,6682720.9
12.00-12.59,1,1,0,0,0,1,0,0,393802.07,2018,7,2,6684393.04
15.00-15.59,9,0,0,0,0,0,1,0,392457.71,2018,6,2,6683349.29
13.00-13.59,6,0,1,0,1,0,0,0,393404.91,2018,1,2,6679650.08
04.00-04.59,8,0,0,0,0,0,0,1,392829.17,2018,6,3,6679568.02
15.00-15.59,5,1,0,0,1,0,0,0,393405.95,2018,5,2,6679647.53
15.00-15.59,8,0,0,0,1,0,0,0,392403.94,2018,12,2,6680021.4
17.00-17.59,0,0,0,0,3,0,0,0,392186.62,2018,9,2,6680090.88
15.00-15.59,0,0,0,0,1,1,0,0,392406.69,2018,1,2,6680293.21
17.00-17.59,1,1,0,0,1,0,0,0,392361.64,2018,5,2,6680567.04
15.00-15.59,7,0,1,0,1,0,0,0,391745,2018,12,2,6684129
12.00-12.59,0,0,0,0,7,1,0,0,391679.02,2018,2,2,6684375.44
16.00-16.59,0,0,0,0,7,0,0,0,391309.82,2018,4,2,6684434.04
13.00-13.59,0,0,0,0,2,0,0,0,391038.51,2018,8,2,6684611.16
19.00-19.59,0,0,0,0,4,1,0,0,391619.01,2018,10,2,6684389.98
17.00-17.59,4,1,0,0,1,0,0,0,390817.14,2018,7,2,6684431.94
16.00-16.59,0,0,0,0,2,0,0,0,390972.57,2018,5,2,6684416.28
10.00-10.59,8,0,0,0,1,0,0,0,391455.63,2018,11,2,6679583.05
12.00-12.59,1,1,0,0,1,0,0,0,389940.3,2018,9,2,6681004.75
06.00-06.59,1,1,0,0,1,0,0,0,391071.98,2018,5,2,6680144.82
13.00-13.59,8,0,0,0,0,0,1,0,391560.45,2018,5,2,6680252.82
22.00-22.59,2,0,0,0,1,1,0,0,389981.26,2018,11,2,6680406.44
18.00-18.59,4,1,0,0,0,1,0,0,390710.33,2018,5,2,6679589.2
15.00-15.59,1,1,0,0,1,0,0,0,390117.15,2018,7,2,6681218.89
08.00-08.59,3,1,0,0,1,0,0,0,390439.73,2018,6,2,6681327.79
18.00-18.59,4,1,0,0,1,0,0,0,390983.93,2018,7,2,6681565.05
20.00-20.59,6,0,1,0,1,0,0,0,391698.85,2018,6,2,6682607.62
10.00-10.59,4,1,0,0,1,0,0,0,389926.31,2018,6,2,6681605.21
08.00-08.59,0,0,0,0,1,0,1,0,391000.06,2018,10,2,6683035.01
08.00-08.59,4,1,0,0,1,0,0,0,391883.22,2018,9,3,6683236.02
15.00-15.59,0,0,0,0,1,0,0,1,390444.44,2018,4,1,6684117.42
17.00-17.59,7,0,1,0,2,0,0,0,396055,2018,4,2,6679320.04
13.00-13.59,4,0,0,0,1,1,0,0,395538.49,2018,10,2,6679323.88
16.00-16.59,0,0,0,0,2,0,0,0,397439.11,2018,10,2,6676277.99
23.00-23.59,2,0,0,0,1,0,0,1,398818.87,2018,8,2,6676351.76
23.00-23.59,2,0,0,0,2,0,0,0,398139.34,2018,3,2,6677409.31
17.00-17.59,0,0,0,0,3,0,0,0,395526.97,2018,12,2,6677778.6
20.00-20.59,9,0,0,0,0,0,0,1,397512.45,2018,5,2,6677640.52
19.00-19.59,1,0,0,0,2,0,0,0,398433.1,2018,8,2,6677893.01
20.00-20.59,8,0,0,0,1,0,0,0,396637.65,2018,1,2,6678727.96
16.00-16.59,1,1,0,0,1,0,0,0,396674.11,2018,8,2,6678945.58
19.00-19.59,1,1,0,0,1,0,0,0,396883.65,2018,6,2,6675469.54
14.00-14.59,9,0,1,0,1,0,0,0,396913,2018,4,2,6675449
09.00-09.59,2,0,0,0,1,1,0,0,395643.35,2018,10,2,6675271.72
20.00-20.59,4,1,0,0,1,0,0,0,396648,2018,9,2,6675406.63
10.00-10.59,1,0,0,0,4,0,0,0,396692,2018,10,2,6675621.85
10.00-10.59,4,1,0,0,1,0,0,0,395802.66,2018,7,2,6675718.47
21.00-21.59,5,0,0,0,2,0,0,0,397051.43,2018,2,2,6675902.02
18.00-18.59,4,1,0,0,0,1,0,0,395734.55,2018,6,2,6675731.92
14.00-14.59,0,0,0,0,2,0,0,1,393509.15,2018,9,2,6678125.2
09.00-09.59,0,0,0,0,2,0,0,0,393441.38,2018,12,2,6678417.77
14.00-14.59,0,0,0,0,2,0,0,0,393422.6,2018,3,2,6678254.23
08.00-08.59,1,1,0,0,1,0,0,0,393454.88,2018,10,2,6678412.5
10.00-10.59,9,0,0,0,0,0,0,1,392273.98,2018,9,2,6678555.99
20.00-20.59,0,0,0,0,2,0,0,0,392295.47,2018,5,2,6678618.03
17.00-17.59,0,0,0,0,0,0,0,2,393862.45,2018,6,2,6679161.45
12.00-12.59,2,0,0,0,2,0,0,0,392584.24,2018,2,2,6678827.2
13.00-13.59,1,1,0,0,1,0,0,0,393703.21,2018,10,2,6676623.5
15.00-15.59,7,0,1,0,1,0,0,0,394630.26,2018,8,2,6676666.15
17.00-17.59,1,1,0,0,1,0,0,0,393944.12,2018,7,2,6676804.79
16.00-16.59,0,0,0,0,1,0,0,1,393844.62,2018,6,2,6677127.16
15.00-15.59,0,2,0,0,0,0,0,0,392661.43,2018,5,2,6677037.64
08.00-08.59,8,0,0,0,1,0,0,0,393827.25,2018,10,2,6677144.07
18.00-18.59,0,0,0,0,3,0,0,0,394893.84,2018,4,2,6677195.06
11.00-11.59,1,1,0,0,1,0,0,0,392419.83,2018,9,2,6677919.35
09.00-09.59,0,0,0,0,2,0,0,0,394928.64,2018,9,2,6676099.8
19.00-19.59,7,0,1,0,1,0,0,0,393477.54,2018,2,2,6671674.82
16.00-16.59,3,1,0,0,1,0,0,0,392318.07,2018,5,2,6676299.26
14.00-14.59,5,1,0,0,1,0,0,0,392839.92,2018,11,2,6676232.24
10.00-10.59,6,0,1,0,1,0,0,0,393474.52,2018,3,2,6676430.32
13.00-13.59,1,0,0,0,2,0,0,0,393746.63,2018,11,2,6676411.55
17.00-17.59,4,1,0,0,1,0,0,0,392417.76,2018,1,2,6676432.06
13.00-13.59,0,0,0,0,1,1,0,0,394030.23,2018,7,2,6676590.75
16.00-16.59,5,1,0,0,1,0,0,0,391611.29,2018,5,2,6677230.02
16.00-16.59,3,1,0,0,1,0,0,0,391868.58,2018,9,2,6677338.32
01.00-01.59,2,0,0,0,2,0,0,0,392198.21,2018,7,2,6678717.8
09.00-09.59,6,0,1,0,0,1,0,0,390957.8,2018,8,2,6679018.99
12.00-12.59,5,1,0,0,1,0,0,0,391329.67,2018,4,2,6679222.12
19.00-19.59,7,0,1,0,1,0,0,0,390462.44,2018,5,2,6679333.32
03.00-03.59,8,0,0,0,1,0,0,0,391376.35,2018,1,2,6679340.19
09.00-09.59,8,0,0,0,1,0,0,0,391485.16,2018,1,2,6679459.24
11.00-11.59,1,1,0,0,0,0,0,1,391781.83,2018,6,2,6675491.54
13.00-13.59,0,0,0,0,2,0,0,0,391467.61,2018,2,2,6675625.38
07.00-07.59,5,1,0,0,1,0,0,0,391704.47,2018,6,2,6675663.36
07.00-07.59,6,0,1,0,0,1,0,0,391839.58,2018,3,2,6675817.58
07.00-07.59,4,0,0,0,2,0,0,0,391845.77,2018,2,2,6675825.39
07.00-07.59,1,1,0,0,1,0,0,0,392260.97,2018,10,2,6676087.98
12.00-12.59,8,0,0,0,1,0,0,0,391361.78,2018,10,2,6676185.74
07.00-07.59,9,0,0,0,1,0,0,1,391977.04,2018,7,2,6676235.27
16.00-16.59,0,0,0,0,3,0,0,0,391763.99,2018,9,2,6675334
14.00-14.59,4,1,0,0,1,0,0,0,390964.69,2018,10,3,6674491.34
11.00-11.59,4,1,0,0,1,0,0,0,392118.16,2018,5,3,6673182.45
12.00-12.59,5,1,0,0,1,0,0,0,389858.85,2018,9,2,6674071.68
09.00-09.59,1,1,0,0,1,0,0,0,391117.12,2018,7,2,6674551.5
10.00-10.59,5,1,0,0,1,0,0,0,391030.59,2018,9,2,6674594.05
13.00-13.59,8,0,0,0,1,0,0,0,390834.46,2018,4,2,6672031.37
07.00-07.59,6,0,1,0,1,0,0,0,391767.72,2018,11,2,6675393.56
19.00-19.59,4,1,0,0,1,0,0,0,389834.78,2018,5,2,6682816.41
20.00-20.59,1,1,0,0,1,0,0,0,389831.53,2018,8,2,6682823.1
08.00-08.59,6,0,1,0,1,0,0,0,389811.87,2018,12,2,6678622.87
11.00-11.59,9,0,0,0,0,1,0,0,389264.79,2018,10,3,6679959.6
21.00-21.59,4,0,0,0,2,0,0,0,389090.05,2018,2,2,6680056.44
07.00-07.59,7,0,1,0,1,0,0,0,389258.82,2018,1,2,6680735.41
05.00-05.59,8,0,0,0,1,0,0,0,389597.5,2018,7,2,6680795.49
12.00-12.59,9,0,0,0,1,0,0,0,389763.41,2018,6,3,6681075.87
07.00-07.59,4,1,0,0,1,0,0,0,389675.8,2018,8,2,6681164.74
14.00-14.59,4,1,0,0,1,0,0,0,389491.76,2018,8,2,6682697.39
17.00-17.59,0,0,0,0,2,0,0,0,389466.19,2018,9,2,6678477.25
18.00-18.59,6,0,1,0,1,0,0,0,389833.97,2018,10,2,6678399.39
18.00-18.59,0,0,0,0,2,0,0,0,389592.25,2018,6,2,6678459.46
01.00-01.59,8,0,0,0,1,0,0,0,389424.16,2018,10,3,6678393.29
12.00-12.59,4,1,0,0,0,1,0,0,389427.38,2018,4,2,6678413.67
17.00-17.59,9,0,0,0,1,0,0,0,389444.11,2018,10,2,6678490.87
07.00-07.59,0,0,0,0,3,0,0,0,389510.97,2018,8,2,6678507.98
21.00-21.59,8,0,0,0,1,0,0,0,389558.45,2018,1,2,6678517.07
01.00-01.59,8,0,0,0,1,0,0,0,388007.93,2018,5,2,6680445.12
09.00-09.59,9,1,0,0,1,0,0,0,386801.01,2018,7,2,6680482.16
15.00-15.59,1,1,0,0,1,0,0,0,386769.67,2018,9,2,6681480.01
15.00-15.59,2,1,0,0,1,0,0,0,387843.83,2018,8,2,6682689.92
20.00-20.59,5,1,0,0,1,0,0,0,388427.43,2018,5,2,6684450.25
20.00-20.59,6,0,1,0,1,0,0,0,387690.13,2018,2,2,6683251.54
17.00-17.59,6,0,1,0,1,0,0,0,387765.89,2018,11,2,6683963.07
07.00-07.59,0,0,0,0,2,0,0,0,388361.5,2018,5,2,6681545.8
15.00-15.59,6,0,1,0,1,0,0,0,387944.36,2018,6,2,6678857.7
16.00-16.59,1,0,0,0,1,1,0,0,387765.62,2018,4,2,6678872.68
11.00-11.59,9,0,0,0,1,0,1,0,387028.17,2018,9,2,6680135.71
16.00-16.59,0,0,0,0,3,0,0,0,388546.44,2018,3,2,6680044.04
14.00-14.59,0,0,0,0,1,1,0,0,389010.79,2018,10,2,6680019.68
12.00-12.59,0,0,0,0,2,0,0,0,389079.5,2018,5,2,6680137.73
22.00-22.59,8,0,0,0,1,0,0,0,387878.93,2018,2,2,6680183.84
15.00-15.59,0,0,0,0,3,0,0,0,387009.81,2018,8,2,6680385.78
15.00-15.59,9,1,0,0,1,0,0,0,387313.34,2018,7,2,6676343.32
09.00-09.59,7,1,1,0,0,0,0,0,387447.94,2018,5,2,6675372.12
16.00-16.59,8,0,0,0,1,0,0,0,387418.41,2018,6,2,6676407.11
22.00-22.59,0,0,0,0,2,0,0,0,387056.66,2018,12,2,6675506.13
17.00-17.59,4,1,0,0,1,0,0,0,387004.65,2018,5,2,6676482.68
08.00-08.59,4,1,0,0,1,0,0,0,386872.74,2018,7,2,6677182.65
15.00-15.59,8,0,0,0,1,0,0,0,387871.02,2018,1,2,6677461.45
13.00-13.59,1,1,0,0,1,0,0,0,387179.92,2018,5,2,6678728.62
02.00-02.59,8,0,0,0,1,0,0,0,386092.9,2018,9,2,6678718.46
15.00-15.59,4,1,0,0,1,0,0,0,386640.44,2018,6,2,6678914.91
02.00-02.59,8,0,0,0,1,0,0,0,385919.22,2018,6,2,6680162.24
10.00-10.59,0,0,0,0,3,0,0,0,386571.7,2018,10,2,6680410.29
14.00-14.59,9,0,0,0,1,1,0,0,386430.64,2018,5,3,6680866.14
08.00-08.59,0,0,0,0,2,0,0,0,386387.12,2018,4,2,6680368.62
11.00-11.59,0,0,0,0,3,0,0,0,386570.67,2018,5,2,6681543.41
07.00-07.59,0,0,0,0,1,1,0,0,386694.02,2018,12,2,6680408.53
16.00-16.59,4,1,0,0,1,0,0,0,386110.93,2018,6,2,6676219.5
16.00-16.59,1,1,0,0,1,0,0,0,386136.15,2018,8,2,6676445.46
08.00-08.59,4,1,0,0,1,0,0,0,386486.9,2018,10,2,6676654.48
07.00-07.59,7,0,1,0,1,0,0,0,385360.34,2018,10,3,6676765.11
19.00-19.59,6,0,1,0,1,0,0,0,386243.23,2018,11,2,6677084.75
14.00-14.59,5,0,0,0,1,0,1,0,385629.09,2018,8,2,6677785.5
08.00-08.59,0,0,0,0,0,1,0,1,386034.01,2018,9,2,6677852.45
08.00-08.59,6,0,1,0,0,1,0,0,386608.26,2018,1,2,6678250.23
15.00-15.59,4,1,0,0,1,0,0,0,386255.48,2018,9,2,6675263.36
07.00-07.59,4,0,0,0,1,1,0,0,385481.23,2018,11,2,6675268.72
14.00-14.59,6,0,1,0,1,0,0,0,385527.68,2018,8,2,6675278.04
08.00-08.59,1,1,0,0,1,0,0,0,385540.23,2018,9,2,6675599.91
18.00-18.59,1,1,0,0,1,0,0,0,386209.93,2018,5,2,6675345.67
15.00-15.59,4,1,0,0,1,0,0,0,386109.07,2018,4,2,6675667.16
14.00-14.59,0,0,0,0,2,0,0,0,385769.22,2018,11,2,6675475.42
08.00-08.59,4,1,0,0,1,0,0,0,386084.07,2018,6,2,6675674.99
06.00-06.59,0,0,0,0,1,1,0,0,387581.72,2018,2,2,6675036.55
17.00-17.59,4,1,0,0,1,0,0,0,387202.73,2018,11,2,6675095.99
07.00-07.59,5,1,0,0,1,0,0,0,389416.85,2018,8,2,6674135.82
16.00-16.59,1,1,0,0,1,0,0,0,387262.47,2018,8,2,6674163.14
14.00-14.59,6,0,1,0,1,0,0,0,387623.37,2018,12,2,6674181.77
09.00-09.59,0,0,0,0,1,0,0,1,387623.83,2018,6,2,6674191.4
18.00-18.59,3,0,0,0,1,0,0,1,387902.03,2018,7,2,6674558.75
16.00-16.59,1,1,0,0,1,0,0,0,387355.56,2018,10,2,6674220.64
17.00-17.59,7,0,1,0,1,0,0,0,387120.37,2018,3,2,6674212.19
17.00-17.59,6,0,1,0,1,0,0,0,387147.38,2018,8,2,6674537.02
16.00-16.59,0,0,0,0,1,0,0,1,388242.17,2018,8,2,6673874.66
18.00-18.59,9,0,1,0,3,0,0,0,387149.9,2018,4,2,6674016.26
16.00-16.59,0,0,0,0,3,0,0,0,389703.4,2018,8,2,6674086.17
22.00-22.59,8,0,0,0,0,0,0,1,388612.07,2018,10,3,6673766.14
11.00-11.59,8,0,0,0,1,0,0,0,387202.74,2018,4,2,6673735.87
09.00-09.59,0,0,0,0,2,0,0,0,387430.64,2018,5,2,6674093.72
17.00-17.59,4,2,0,0,0,0,0,0,389167.39,2018,7,3,6673958.17
15.00-15.59,4,1,0,0,1,0,0,0,389414.96,2018,9,2,6674135.55
15.00-15.59,1,1,0,0,1,0,0,0,386857.69,2018,6,2,6674049.37
11.00-11.59,0,0,0,0,2,0,0,0,386952.48,2018,8,2,6674279.45
12.00-12.59,5,0,0,0,2,0,0,0,387005.39,2018,2,2,6674408.66
07.00-07.59,0,0,0,0,0,1,1,0,386934.71,2018,6,2,6674525.99
20.00-20.59,8,0,0,0,0,0,0,1,386713.78,2018,8,2,6674812.34
16.00-16.59,4,1,0,0,1,0,0,0,386714.22,2018,11,2,6674812.75
01.00-01.59,7,0,1,1,0,0,0,0,386600.48,2018,1,2,6674960.59
11.00-11.59,3,0,0,0,2,0,0,0,386716.02,2018,12,2,6674814.39
11.00-11.59,6,0,1,0,1,0,0,0,386406.23,2018,2,2,6673219.44
19.00-19.59,8,0,3,0,1,0,0,0,386868.15,2018,7,2,6673266.33
14.00-14.59,0,0,0,0,1,1,0,0,386549.1,2018,11,2,6673396.28
15.00-15.59,1,1,0,0,1,0,0,0,386917.56,2018,9,2,6673418.02
16.00-16.59,0,0,0,0,2,0,0,0,386782.77,2018,8,2,6673602.54
16.00-16.59,0,0,0,0,2,0,0,0,387103.93,2018,2,2,6673664.12
07.00-07.59,7,0,1,0,1,0,0,0,386221.03,2018,5,2,6673918
02.00-02.59,6,0,1,0,1,0,0,0,386822.68,2018,12,2,6673874.78
08.00-08.59,1,1,0,0,1,0,0,0,386953.85,2018,9,2,6671639.87
08.00-08.59,0,1,0,0,1,0,0,0,386806.19,2018,9,2,6672186.95
16.00-16.59,6,0,1,0,0,0,0,1,386240.62,2018,7,2,6672528.65
04.00-04.59,9,1,0,0,0,0,0,0,386877.12,2018,8,1,6673102.6
18.00-18.59,4,1,0,0,0,1,0,0,386282.8,2018,5,2,6672786.7
09.00-09.59,6,0,1,0,1,0,0,0,386301.38,2018,6,2,6672195.01
15.00-15.59,0,0,0,0,1,1,0,0,386280.84,2018,4,2,6672899.17
02.00-02.59,7,0,1,0,1,0,0,0,386037.38,2018,7,2,6672217.41
01.00-01.59,6,0,1,0,1,0,0,0,385561.59,2018,11,2,6672227.21
17.00-17.59,7,0,1,0,0,1,0,0,385854.6,2018,8,2,6672234.92
10.00-10.59,4,1,0,0,1,0,0,0,385642.38,2018,8,2,6672236.78
15.00-15.59,0,0,0,0,3,0,0,0,385426.1,2018,6,2,6672417.16
16.00-16.59,1,2,0,0,0,0,0,0,385539,2018,6,2,6673819.51
16.00-16.59,1,1,0,0,1,0,0,0,385331.23,2018,11,2,6674668.07
08.00-08.59,9,1,0,0,0,1,0,0,385419.53,2018,11,2,6675256.87
21.00-21.59,6,0,1,0,0,1,0,0,385563.4,2018,9,2,6674966.95
08.00-08.59,4,1,0,0,1,0,0,0,385512.51,2018,10,2,6671789.74
16.00-16.59,5,0,0,1,0,1,0,0,385813.46,2018,5,2,6671853.59
16.00-16.59,0,0,0,0,2,0,0,0,385552.19,2018,9,2,6671815.26
08.00-08.59,1,0,0,0,2,0,0,0,385817.81,2018,1,2,6671852.76
17.00-17.59,6,0,1,1,0,0,0,0,385616.4,2018,3,2,6672135.11
02.00-02.59,5,0,0,0,1,1,0,0,385941.17,2018,9,2,6672165.96
03.00-03.59,9,0,0,0,1,0,0,0,385560.27,2018,11,2,6672226.83
00.00-00.59,6,0,1,0,1,0,0,0,385724.03,2018,12,2,6672178.11
12.00-12.59,7,0,1,1,0,0,0,0,385489.15,2018,4,1,6671774.28
17.00-17.59,6,0,1,0,1,0,0,0,385968.66,2018,11,2,6671380.79
22.00-22.59,4,0,0,0,2,0,0,0,385573.9,2018,7,2,6671409.93
11.00-11.59,6,0,1,0,0,1,0,0,385961.99,2018,1,2,6671391.34
04.00-04.59,7,0,1,0,1,0,0,0,385902.16,2018,12,2,6671671.36
11.00-11.59,7,0,1,0,1,0,0,0,385406.62,2018,11,2,6671594.14
18.00-18.59,9,0,0,0,4,0,0,0,385572.4,2018,5,2,6671100.58
12.00-12.59,6,0,1,0,1,0,0,0,385521.27,2018,4,2,6671779.49
07.00-07.59,0,0,0,0,3,0,0,0,384923.89,2018,10,2,6679985.8
16.00-16.59,0,0,0,0,4,0,0,0,385261.13,2018,11,2,6680056.98
17.00-17.59,9,0,0,0,0,0,0,1,385220.63,2018,5,2,6680119.72
15.00-15.59,9,0,0,0,1,0,1,0,384932.31,2018,6,2,6673375.37
02.00-02.59,0,0,0,0,1,1,0,0,384882.74,2018,9,2,6673686.39
21.00-21.59,1,1,0,0,1,0,0,0,385184.35,2018,7,2,6675047.43
19.00-19.59,2,2,0,0,0,0,0,0,384898.64,2018,8,3,6674572.09
15.00-15.59,0,0,0,0,3,0,0,0,385149.23,2018,10,2,6676128.54
05.00-05.59,4,0,0,0,1,1,0,0,384967.27,2018,1,2,6677768.45
05.00-05.59,8,0,0,0,1,0,0,0,385155.17,2018,9,2,6676248.12
02.00-02.59,8,0,0,0,2,0,0,0,384903.16,2018,2,2,6679357.42
15.00-15.59,0,0,0,0,3,0,0,0,384871.22,2018,9,2,6679944.53
18.00-18.59,7,0,1,0,1,0,0,0,385292.29,2018,4,2,6671023.36
17.00-17.59,6,0,1,0,1,0,0,0,384979.4,2018,8,2,6671206.29
17.00-17.59,3,1,0,0,1,0,0,0,385197.44,2018,11,2,6671671.84
04.00-04.59,4,0,0,0,2,0,0,0,385280.49,2018,9,2,6671857.93
13.00-13.59,0,0,0,0,2,0,0,1,385252.33,2018,5,2,6672805.91
03.00-03.59,9,0,1,0,1,0,0,0,384928.21,2018,1,2,6672132.16
13.00-13.59,6,0,1,0,0,1,0,0,385005.79,2018,2,2,6672088.83
16.00-16.59,0,1,0,0,0,1,0,0,385124.55,2018,5,2,6673062.36
13.00-13.59,9,1,0,0,0,1,0,0,385128.45,2018,8,2,6673119.04
12.00-12.59,7,0,1,0,1,0,0,0,384152.7,2018,9,2,6674493.52
17.00-17.59,3,0,0,1,0,1,0,0,383931.05,2018,2,2,6674542.43
08.00-08.59,0,0,0,0,2,0,0,0,383949.31,2018,9,2,6674776.46
11.00-11.59,7,0,1,0,1,0,0,0,384863,2018,4,2,6675723
17.00-17.59,0,0,0,0,5,0,0,0,383878.09,2018,4,2,6679528.23
10.00-10.59,7,1,1,0,0,0,0,0,384220.55,2018,10,3,6680272.67
20.00-20.59,0,0,0,0,3,0,0,0,384330.31,2018,8,2,6679777.34
22.00-22.59,8,0,0,0,1,0,0,0,383888.53,2018,1,2,6679608.13
09.00-09.59,0,0,0,0,1,1,0,0,384514.95,2018,11,2,6679834.53
13.00-13.59,1,1,0,0,1,0,0,0,384723.6,2018,8,2,6672881.66
00.00-00.59,8,0,0,0,0,0,0,1,384761.64,2018,4,2,6673064.54
12.00-12.59,0,0,1,0,2,0,0,0,384695.62,2018,11,2,6673360.98
13.00-13.59,6,0,1,0,1,0,0,0,384519.27,2018,11,2,6673739.83
15.00-15.59,6,0,1,1,0,0,0,0,384757.32,2018,5,2,6673863.81
07.00-07.59,4,1,0,0,1,0,0,0,384359.82,2018,6,2,6674452.35
09.00-09.59,7,0,1,0,1,0,0,0,384364.02,2018,10,2,6674180.62
12.00-12.59,6,0,1,0,1,0,0,0,384051.63,2018,6,2,6673969.64
19.00-19.59,7,0,1,0,1,0,0,0,384729.59,2018,12,2,6673848.1
17.00-17.59,0,0,0,0,4,0,0,0,384441.68,2018,4,2,6671532.79
18.00-18.59,4,1,0,0,1,0,0,0,384793.11,2018,8,2,6671208.9
07.00-07.59,1,1,0,0,1,0,0,0,383999.93,2018,4,2,6671691.2
18.00-18.59,0,0,0,0,3,0,0,0,384641.7,2018,8,2,6671709.94
14.00-14.59,9,1,0,0,1,0,0,0,384602.17,2018,7,2,6671806.36
17.00-17.59,9,0,1,1,0,0,0,0,384634.58,2018,1,3,6672177.74
09.00-09.59,6,0,1,0,1,0,0,0,384696.53,2018,9,2,6672325.12
19.00-19.59,6,0,1,0,1,0,0,0,384385.51,2018,1,2,6672326.58
19.00-19.59,0,1,0,0,1,0,0,0,384511.78,2018,7,2,6672823.38
16.00-16.59,0,0,0,0,2,0,0,0,383615.74,2018,9,2,6679433.79
12.00-12.59,3,0,0,0,2,0,0,0,383808.66,2018,2,2,6679648.35
18.00-18.59,0,0,0,0,1,1,0,0,383647.84,2018,5,2,6679440.58
20.00-20.59,9,0,1,0,1,0,0,0,383116,2018,10,2,6679679
14.00-14.59,9,0,1,0,1,0,0,0,383255,2018,11,3,6679589
17.00-17.59,0,0,0,0,2,1,0,0,383602.24,2018,11,2,6679726.8
13.00-13.59,4,1,0,0,1,0,0,0,383057.27,2018,11,2,6679807.02
19.00-19.59,8,0,0,0,1,0,0,0,383444.43,2018,3,2,6680059.76
08.00-08.59,9,0,0,0,1,1,0,0,383337.65,2018,4,2,6680710.52
08.00-08.59,9,0,0,0,0,0,1,0,383602.25,2018,6,2,6675493.99
07.00-07.59,0,0,0,0,1,1,0,0,383640.83,2018,10,2,6676756.81
12.00-12.59,7,0,1,0,0,0,0,1,383741.74,2018,7,2,6676875.65
18.00-18.59,8,0,0,0,1,0,0,0,383244.36,2018,6,2,6677898.36
14.00-14.59,1,1,0,0,1,0,0,0,383524.3,2018,5,2,6678280.27
17.00-17.59,1,1,0,0,1,0,0,0,383521.48,2018,6,2,6678282.69
07.00-07.59,0,0,0,0,2,0,0,0,383749.16,2018,10,2,6679317.53
